datetime,open,high,low,close,volume,openinterest
2015-06-01,15.33,15.98,15.19,15.9,215836224.0,0
2015-06-02,15.89,15.9,15.52,15.77,190482208.0,0
2015-06-03,15.77,15.95,15.5,15.83,197523184.0,0
2015-06-04,15.85,16.58,15.66,16.37,368253280.0,0
2015-06-05,16.7,16.8,16.03,16.3,285545632.0,0
2015-06-08,16.32,17.45,16.19,17.29,508605024.0,0
2015-06-09,17.36,17.45,16.68,16.98,328696768.0,0
2015-06-10,16.8,16.93,16.53,16.68,219838656.0,0
2015-06-11,16.68,16.77,16.35,16.48,170696048.0,0
2015-06-12,16.48,16.63,16.31,16.51,190338880.0,0
2015-06-15,16.53,16.6,15.9,15.92,219217664.0,0
2015-06-16,15.8,16.06,15.5,15.64,181217984.0,0
2015-06-17,15.83,15.89,15.45,15.73,171594224.0,0
2015-06-18,15.68,15.68,15.01,15.38,160255488.0,0
2015-06-19,15.25,15.39,14.5,14.63,156552048.0,0
2015-06-23,14.64,14.97,14.11,14.95,180548816.0,0
2015-06-24,15.0,15.13,14.7,15.12,153199616.0,0
2015-06-25,15.58,15.63,14.76,14.87,207916480.0,0
2015-06-26,14.64,14.95,13.38,13.77,255532176.0,0
2015-06-29,14.08,14.15,12.75,13.56,261294320.0,0
2015-06-30,13.54,14.54,13.38,14.54,254810320.0,0
2015-07-01,14.35,14.59,13.74,13.92,183540608.0,0
2015-07-02,13.9,14.31,13.38,13.75,198282624.0,0
2015-07-03,13.98,13.99,12.79,13.07,259745824.0,0
2015-07-06,14.3,14.31,13.29,13.88,338152672.0,0
2015-07-07,13.66,14.65,13.21,14.65,480831200.0,0
2015-07-08,13.81,14.0,13.19,13.19,499669696.0,0
2015-07-09,13.19,14.44,12.11,14.26,434435552.0,0
2015-07-10,13.85,15.36,13.61,14.86,465098784.0,0
2015-07-13,14.4,14.89,14.12,14.44,326819616.0,0
2015-07-14,14.2,14.38,13.51,13.87,258022960.0,0
2015-07-15,13.66,13.96,13.4,13.58,162642320.0,0
2015-07-16,13.6,13.76,13.42,13.6,138893984.0,0
2015-07-17,13.66,13.94,13.53,13.82,168063760.0,0
2015-07-20,13.8,13.8,13.53,13.6,135868304.0,0
2015-07-21,13.51,13.64,13.38,13.57,113164352.0,0
2015-07-22,13.49,13.54,13.34,13.52,113809064.0,0
2015-07-23,13.46,13.75,13.41,13.67,148369616.0,0
2015-07-24,13.68,13.7,13.32,13.38,133931000.0,0
2015-07-27,13.25,13.32,12.04,12.44,178785920.0,0
2015-07-28,12.19,12.76,12.15,12.62,201120080.0,0
2015-07-29,12.6,12.62,12.38,12.6,97168288.0,0
2015-07-30,12.61,12.64,12.23,12.26,77027896.0,0
2015-07-31,12.16,12.42,12.02,12.36,120274688.0,0
2015-08-03,12.2,12.85,12.15,12.82,140512272.0,0
2015-08-04,12.77,12.99,12.59,12.86,77493760.0,0
2015-08-05,12.8,12.95,12.57,12.59,55180236.0,0
2015-08-06,12.5,12.73,12.43,12.53,45021844.0,0
2015-08-07,12.61,12.72,12.54,12.61,62201032.0,0
2015-08-10,12.66,12.99,12.55,12.92,105311192.0,0
2015-08-11,12.91,12.95,12.79,12.84,82849336.0,0
2015-08-12,12.69,12.77,12.56,12.57,68682208.0,0
2015-08-13,12.51,12.67,12.42,12.57,60634440.0,0
2015-08-14,12.69,12.75,12.58,12.64,82378928.0,0
2015-08-17,12.61,12.69,12.45,12.54,67964256.0,0
2015-08-18,12.5,12.74,11.95,12.27,117632440.0,0
2015-08-19,12.1,12.23,11.9,12.23,95889424.0,0
2015-08-20,12.17,12.17,11.9,12.05,67763440.0,0
2015-08-21,11.9,11.99,11.46,11.5,93336784.0,0
2015-08-24,11.1,11.17,10.35,10.35,151802976.0,0
2015-08-25,9.85,10.35,9.32,9.46,219233376.0,0
2015-08-26,9.6,10.23,9.3,9.91,249191952.0,0
2015-08-27,10.16,10.9,9.86,10.8,184923568.0,0
2015-08-28,10.89,11.09,10.55,10.83,160802976.0,0
2015-08-31,10.71,11.07,10.48,11.07,146429728.0,0
2015-09-01,10.9,11.61,10.61,11.57,265766128.0,0
2015-09-02,11.18,12.0,11.06,11.84,281574688.0,0
2015-09-07,11.55,11.56,10.89,10.89,137611072.0,0
2015-09-08,10.88,11.15,10.59,11.0,74729248.0,0
2015-09-09,11.03,11.19,10.88,11.1,85107392.0,0
2015-09-10,11.0,11.18,10.94,11.05,46520564.0,0
2015-09-11,11.02,11.12,10.88,10.96,42645080.0,0
2015-09-14,10.99,11.0,10.45,10.87,75645272.0,0
2015-09-15,10.69,10.85,10.5,10.57,54283900.0,0
2015-09-16,10.59,11.08,10.52,10.9,56924376.0,0
2015-09-17,10.85,11.14,10.77,10.77,62079856.0,0
2015-09-18,10.84,10.96,10.73,10.81,31827282.0,0
2015-09-21,10.7,10.89,10.65,10.82,38611112.0,0
2015-09-22,10.83,11.06,10.82,10.96,49295560.0,0
2015-09-23,10.86,10.91,10.68,10.7,37115084.0,0
2015-09-24,10.76,10.81,10.67,10.71,25863256.0,0
2015-09-25,10.69,10.71,10.45,10.55,44642060.0,0
2015-09-28,10.56,10.59,10.43,10.53,19908728.0,0
2015-09-29,10.45,10.56,10.32,10.38,33360356.0,0
2015-09-30,10.4,10.59,10.39,10.49,36465972.0,0
2015-10-08,10.85,10.89,10.7,10.7,49407084.0,0
2015-10-09,10.75,10.95,10.72,10.9,47461208.0,0
2015-10-12,10.96,11.38,10.91,11.23,84966512.0,0
2015-10-13,11.2,11.26,11.09,11.13,35979820.0,0
2015-10-14,11.04,11.15,10.94,10.98,41898064.0,0
2015-10-15,10.95,11.17,10.94,11.17,48590048.0,0
2015-10-16,11.21,11.3,11.16,11.23,57000144.0,0
2015-10-19,11.27,11.35,11.15,11.26,72337152.0,0
2015-10-20,11.2,11.38,11.19,11.32,71516328.0,0
2015-10-21,11.29,11.75,11.18,11.22,133262904.0,0
2015-10-22,11.25,11.4,11.18,11.33,82280576.0,0
2015-10-23,11.39,11.53,11.34,11.47,93742512.0,0
2015-10-26,11.6,11.81,11.44,11.52,108591752.0,0
2015-10-27,11.5,11.64,11.34,11.48,58043636.0,0
2015-10-28,11.46,11.48,11.25,11.27,54481116.0,0
2015-10-29,11.3,11.36,11.25,11.27,31670368.0,0
2015-10-30,11.3,11.42,11.27,11.36,53593072.0,0
2015-11-02,11.27,11.32,11.1,11.14,48443580.0,0
2015-11-03,11.15,11.21,11.01,11.05,39126520.0,0
2015-11-04,11.08,11.7,11.05,11.69,130724416.0,0
2015-11-05,11.6,12.57,11.55,12.07,229218976.0,0
2015-11-06,12.02,12.41,11.92,12.39,146319488.0,0
2015-11-09,12.5,13.38,12.46,12.94,241388784.0,0
2015-11-10,12.8,13.07,12.61,12.75,112502760.0,0
2015-11-11,12.7,12.78,12.38,12.55,102173504.0,0
