datetime,open,high,low,close,volume,interest
20190701,28.18,28.67,28.0,28.62,0,0
20190702,28.5,28.93,28.28,28.86,0,0
20190703,28.71,29.49,28.61,29.17,0,0
20190704,29.22,30.28,29.22,29.55,0,0
20190705,29.45,29.68,29.13,29.45,0,0
20190708,29.5,29.51,28.65,29.15,0,0
20190709,29.15,29.69,29.08,29.15,0,0
20190710,29.41,29.42,28.91,29.17,0,0
20190711,29.38,29.75,29.18,29.21,0,0
20190712,29.2,29.86,29.11,29.65,0,0
20190715,29.43,30.08,29.2,30.0,0,0
20190716,29.9,30.4,29.85,30.06,0,0
20190717,29.9,30.3,29.82,30.13,0,0
20190718,29.97,30.3,29.84,30.09,0,0
20190719,30.7,30.98,30.46,30.71,0,0
20190722,30.71,31.45,30.53,31.1,0,0
20190723,30.9,31.0,29.63,30.0,0,0
20190724,30.0,30.3,29.73,29.97,0,0
20190725,29.96,30.11,29.6,30.08,0,0
20190726,29.81,30.08,29.7,29.96,0,0
20190729,29.92,30.11,29.6,29.7,0,0
20190730,29.75,30.09,29.75,29.82,0,0
20190731,29.4,29.4,28.51,28.76,0,0
20190801,28.5,28.75,28.19,28.42,0,0
20190802,27.75,28.25,27.68,28.01,0,0
20190805,27.72,27.76,27.0,27.01,0,0
20190806,26.65,27.34,26.41,27.02,0,0
20190807,27.15,27.56,27.05,27.36,0,0
20190808,27.53,27.8,27.36,27.65,0,0
20190809,27.85,27.85,27.16,27.29,0,0
20190812,27.31,27.88,27.28,27.77,0,0
20190813,27.62,27.74,27.18,27.33,0,0
20190814,27.69,27.74,26.9,27.13,0,0
20190815,26.0,26.43,25.65,26.34,0,0
20190816,26.4,26.52,26.16,26.28,0,0
20190819,26.9,26.96,26.42,26.88,0,0
20190820,26.78,27.36,26.7,27.17,0,0
20190821,27.41,27.77,27.25,27.39,0,0
20190822,27.54,27.55,27.12,27.16,0,0
20190823,27.25,27.28,26.9,26.96,0,0
20190826,26.46,26.56,26.2,26.45,0,0
20190827,26.62,26.98,26.47,26.52,0,0
20190828,26.55,26.69,26.36,26.55,0,0
20190829,26.59,26.64,25.86,25.97,0,0
20190830,26.22,26.22,25.68,25.8,0,0
20190902,25.75,26.06,25.69,25.89,0,0
20190903,25.97,26.05,25.61,25.7,0,0
20190904,25.83,26.75,25.73,26.7,0,0
20190905,26.83,27.35,26.65,26.7,0,0
20190906,26.88,26.92,26.64,26.89,0,0
20190909,27.05,27.36,27.01,27.07,0,0
20190910,27.2,27.27,26.98,27.24,0,0
20190911,27.3,27.33,26.77,26.91,0,0
20190912,27.14,27.81,27.13,27.78,0,0
20190916,27.77,27.77,27.15,27.21,0,0
20190917,27.15,27.16,26.69,26.82,0,0
20190918,26.82,27.22,26.79,26.94,0,0
20190919,27.05,27.07,26.6,26.73,0,0
20190920,26.89,26.95,26.63,26.8,0,0
20190923,26.49,26.49,26.0,26.15,0,0
20190924,26.24,26.33,26.09,26.13,0,0
20190925,26.09,26.24,25.94,26.02,0,0
